
Dump of file C:\Windows\System32\winmm.dll
         84   51 00009E00 midiOutUnprepareHeader
         85   52 00009E20 midiStreamClose
         86   53 00009E40 midiStreamOpen
         87   54 00009E60 midiStreamOut
         88   55 00009E80 midiStreamPause
         89   56 00009EA0 midiStreamPosition
         90   57 00009EC0 midiStreamProperty
         91   58 00009EE0 midiStreamRestart
         92   59 00009F00 midiStreamStop
         93   5A 00009F20 mixerClose
         94   5B 00009F40 mixerGetControlDetailsA
         95   5C 00009F60 mixerGetControlDetailsW
         96   5D 00009F80 mixerGetDevCapsA
         97   5E 00009FA0 mixerGetDevCapsW
         98   5F 00009FC0 mixerGetID
         99   60 00009FE0 mixerGetLineControlsA
        100   61 0000A000 mixerGetLineControlsW
        101   62 0000A020 mixerGetLineInfoA
        102   63 0000A040 mixerGetLineInfoW
        103   64 0000A060 mixerGetNumDevs
        104   65 0000A080 mixerMessage
        105   66 0000A0A0 mixerOpen
        106   67 0000A0C0 mixerSetControlDetails
        107   68 0000A0E0 mmDrvInstall
        108   69 0000A100 mmGetCurrentTask
        109   6A 0000A120 mmTaskBlock
        110   6B 0000A140 mmTaskCreate
        111   6C 0000A160 mmTaskSignal
        112   6D 0000A180 mmTaskYield
        113   6E 0000A1A0 mmioAdvance
        114   6F 0000A1C0 mmioAscend
        115   70 0000A1E0 mmioClose
        116   71 0000A200 mmioCreateChunk
        117   72 0000A220 mmioDescend
        118   73 0000A240 mmioFlush
        119   74 0000A260 mmioGetInfo
        120   75 0000A280 mmioInstallIOProcA
        121   76 0000A2A0 mmioInstallIOProcW
        122   77 0000A2C0 mmioOpenA
        123   78 0000A2E0 mmioOpenW
        124   79 0000A300 mmioRead
        125   7A 0000A320 mmioRenameA
        126   7B 0000A340 mmioRenameW
        127   7C 0000A360 mmioSeek
        128   7D 0000A380 mmioSendMessage
        129   7E 0000A3A0 mmioSetBuffer
        130   7F 0000A3C0 mmioSetInfo
        131   80 0000A3E0 mmioStringToFOURCCA
        132   81 0000A400 mmioStringToFOURCCW
        133   82 0000A420 mmioWrite
        134   83 00014830 mmsystemGetVersion
        135   84 00013680 sndPlaySoundA
        136   85 00013690 sndPlaySoundW
        137   86 00001060 timeBeginPeriod
        138   87 00001040 timeEndPeriod
        139   88 0000A440 timeGetDevCaps
        140   89 0000A460 timeGetSystemTime
        141   8A 00003190 timeGetTime
        142   8B 00002E50 timeKillEvent
        143   8C 00002A20 timeSetEvent
        144   8D 0000A480 waveInAddBuffer
        145   8E 0000A4A0 waveInClose
        146   8F 0000A4C0 waveInGetDevCapsA
        147   90 0000A4E0 waveInGetDevCapsW
        148   91 0000A500 waveInGetErrorTextA
        149   92 0000A520 waveInGetErrorTextW
        150   93 0000A540 waveInGetID
        151   94 0000A560 waveInGetNumDevs
        152   95 0000A580 waveInGetPosition
        153   96 0000A5A0 waveInMessage
        154   97 0000A5C0 waveInOpen
        155   98 0000A5E0 waveInPrepareHeader
        156   99 0000A600 waveInReset
        157   9A 0000A620 waveInStart
        158   9B 0000A640 waveInStop
        159   9C 0000A660 waveInUnprepareHeader
        160   9D 0000A680 waveOutBreakLoop
        161   9E 0000A6A0 waveOutClose
        162   9F 0000A6C0 waveOutGetDevCapsA
        163   A0 0000A6E0 waveOutGetDevCapsW
        164   A1 0000A700 waveOutGetErrorTextA
        165   A2 0000A720 waveOutGetErrorTextW
        166   A3 0000A740 waveOutGetID
        167   A4 0000A760 waveOutGetNumDevs
        168   A5 0000A780 waveOutGetPitch
        169   A6 0000A7A0 waveOutGetPlaybackRate
        170   A7 0000A7C0 waveOutGetPosition
        171   A8 0000A7E0 waveOutGetVolume
        172   A9 0000A800 waveOutMessage
        173   AA 0000A820 waveOutOpen
        174   AB 0000A840 waveOutPause
        175   AC 0000A860 waveOutPrepareHeader
        176   AD 0000A880 waveOutReset
        177   AE 0000A8A0 waveOutRestart
        178   AF 0000A8C0 waveOutSetPitch
        179   B0 0000A8E0 waveOutSetPlaybackRate
        180   B1 0000A900 waveOutSetVolume
        181   B2 0000A920 waveOutUnprepareHeader
        182   B3 0000A940 waveOutWrite
          2      000098B0 [NONAME]

  Summary

        2000 .data
        1000 .didat
        1000 .guids
        1000 .pdata
        7000 .rdata
        1000 .reloc
        5000 .rsrc
       14000 .text
