
Dump of file C:\Windows\System32\advapi32.dll
       1062   3C 000437F0 BaseRegCloseKey
       1063   3D 00043820 BaseRegCreateKey
       1064   3E 00043890 BaseRegDeleteKeyEx
       1065   3F 000438D0 BaseRegDeleteValue
       1066   40 00043910 BaseRegFlushKey
       1067   41 00043940 BaseRegGetVersion
       1068   42 00043980 BaseRegLoadKey
       1069   43 000439C0 BaseRegOpenKey
       1070   44 00043A10 BaseRegRestoreKey
       1071   45 00043A50 BaseRegSaveKeyEx
       1072   46 00043A90 BaseRegSetKeySecurity
       1073   47 00043AD0 BaseRegSetValue
       1074   48 00043B20 BaseRegUnLoadKey
       1075   49 0001D530 BuildExplicitAccessWithNameA
       1076   4A 0001D530 BuildExplicitAccessWithNameW
       1077   4B 0003DDC0 BuildImpersonateExplicitAccessWithNameA
       1078   4C 0003DDC0 BuildImpersonateExplicitAccessWithNameW
       1079   4D 0003EC80 BuildImpersonateTrusteeA
       1080   4E 0003EC80 BuildImpersonateTrusteeW
       1081   4F 0003DDF0 BuildSecurityDescriptorA
       1082   50 0001CA90 BuildSecurityDescriptorW
       1083   51 0003ECA0 BuildTrusteeWithNameA
       1084   52 0003ECA0 BuildTrusteeWithNameW
       1085   53 0003ECC0 BuildTrusteeWithObjectsAndNameA
       1086   54 0003ECC0 BuildTrusteeWithObjectsAndNameW
       1087   55 0003ED20 BuildTrusteeWithObjectsAndSidA
       1088   56 0003ED20 BuildTrusteeWithObjectsAndSidW
       1089   57 00017BF0 BuildTrusteeWithSidA
       1090   58 00017BF0 BuildTrusteeWithSidW
       1091   59 0003F430 CancelOverlappedAccess
       1092   5A 0002EB90 ChangeServiceConfig2A
       1093   5B 0002EBB0 ChangeServiceConfig2W
       1094   5C 0002EBD0 ChangeServiceConfigA
       1095   5D 0001D380 ChangeServiceConfigW
       1096   5E 0001C040 CheckForHiberboot
       1097   5F 000176B0 CheckTokenMembership
       1098   60 000510F0 ClearEventLogA
       1099   61 00051190 ClearEventLogW
       1100   62 00015F30 CloseCodeAuthzLevel
       1101   63 0002D7B0 CloseEncryptedFileRaw
       1102   64 0001C570 CloseEventLog
       1103   65 000179F0 CloseServiceHandle
       1104   66 00062210 CloseThreadWaitChainSession
       1105   67 00017D80 CloseTrace
       1106   68 00003950 CommandLineFromMsiDescriptor
       1107   69 00013AB0 ComputeAccessTokenFromCodeAuthzLevel
       1108   6A 0002EC90 ControlService
       1109   6B 0002EC50 ControlServiceExA
       1110   6C 0002EC70 ControlServiceExW
       1111   6D 0001DE00 ControlTraceA
       1112   6E 000043A0 ControlTraceW
       1113   6F 0003F4A0 ConvertAccessToSecurityDescriptorA
       1114   70 0003F620 ConvertAccessToSecurityDescriptorW
       1115   71 0004A130 ConvertSDToStringSDDomainW
       1116   72 0004A1C0 ConvertSDToStringSDRootDomainA
       1117   73 0004A340 ConvertSDToStringSDRootDomainW
       1118   74 0003F6B0 ConvertSecurityDescriptorToAccessA
       1119   75 0003F6B0 ConvertSecurityDescriptorToAccessNamedA
       1120   76 0003F6F0 ConvertSecurityDescriptorToAccessNamedW
       1121   77 0003F6F0 ConvertSecurityDescriptorToAccessW
       1122   78 0004A3C0 ConvertSecurityDescriptorToStringSecurityDescriptorA
       1123   79 0004A530 ConvertSecurityDescriptorToStringSecurityDescriptorW
       1124   7A 0001BE90 ConvertSidToStringSidA
       1125   7B 00015900 ConvertSidToStringSidW
       1126   7C 0004A600 ConvertStringSDToSDDomainA
       1127   7D 0001B840 ConvertStringSDToSDDomainW
       1128   7E 0004A740 ConvertStringSDToSDRootDomainA
       1129   7F 0004A810 ConvertStringSDToSDRootDomainW
       1130   80 0004A880 ConvertStringSecurityDescriptorToSecurityDescriptorA
       1131   81 00011E00 ConvertStringSecurityDescriptorToSecurityDescriptorW
       1132   82 0004A940 ConvertStringSidToSidA
       1133   83 00011D50 ConvertStringSidToSidW
       1134   84 0002ECB0 ConvertToAutoInheritPrivateObjectSecurity
       1135   85 00016CE0 CopySid
       1136   86 00037300 CreateCodeAuthzLevel
       1137   87 000197A0 CreatePrivateObjectSecurity
       1138   88 0002ECD0 CreatePrivateObjectSecurityEx
       1139   89 0002ECF0 CreatePrivateObjectSecurityWithMultipleInheritance
       1140   8A 0002ED10 CreateProcessAsUserA
       1141   8B 00017CC0 CreateProcessAsUserW
       1142   8C 00049000 CreateProcessWithLogonW
       1143   8D 00004480 CreateProcessWithTokenW
       1144   8E 000043E0 CreateRestrictedToken
       1145   8F 0002ED90 CreateServiceA
       1146   90 0001DFA0 CreateServiceEx
       1147   91 0002EE20 CreateServiceW
       1148   92          CreateTraceInstanceId (forwarded to ntdll.EtwCreateTraceInstanceId)
       1149   93 00017BD0 CreateWellKnownSid
       1150   94 0002EEB0 CredBackupCredentials
       1151   95 0002EED0 CredDeleteA
       1152   96 0002EEF0 CredDeleteW
       1153   97 0002EF10 CredEncryptAndMarshalBinaryBlob
       1154   98 0002EF30 CredEnumerateA
       1155   99 0002EF50 CredEnumerateW
       1156   9A 0002EF70 CredFindBestCredentialA
       1157   9B 0002EF90 CredFindBestCredentialW
       1158   9C 0002EFB0 CredFree
       1159   9D 0002EFD0 CredGetSessionTypes
       1160   9E 0002EFF0 CredGetTargetInfoA
       1161   9F 0002F010 CredGetTargetInfoW
       1162   A0 00031A30 CredIsMarshaledCredentialA
       1163   A1 0002F030 CredIsMarshaledCredentialW
       1164   A2 0002F050 CredIsProtectedA
       1165   A3 0002F070 CredIsProtectedW
       1166   A4 0002F090 CredMarshalCredentialA
       1167   A5 0002F0B0 CredMarshalCredentialW
       1168   A6 0002F0F0 CredProfileLoaded
       1169   A7 0002F0D0 CredProfileLoadedEx
       1170   A8 0002F110 CredProfileUnloaded
       1171   A9 0002F130 CredProtectA
       1172   AA 0002F150 CredProtectW
       1173   AB 0002F170 CredReadA
       1174   AC 0002F190 CredReadByTokenHandle
       1175   AD 0002F1B0 CredReadDomainCredentialsA
       1176   AE 0002F1D0 CredReadDomainCredentialsW
       1177   AF 0002F1F0 CredReadW
       1178   B0 00031A70 CredRenameA
       1179   B1 00031A70 CredRenameW
       1180   B2 0002F210 CredRestoreCredentials
       1181   B3 0002F230 CredUnmarshalCredentialA
       1182   B4 0002F250 CredUnmarshalCredentialW
       1183   B5 0002F270 CredUnprotectA
       1184   B6 0002F290 CredUnprotectW
       1185   B7 0002F2B0 CredWriteA
       1186   B8 0002F2D0 CredWriteDomainCredentialsA
       1187   B9 0002F2F0 CredWriteDomainCredentialsW
       1188   BA 0002F310 CredWriteW
       1189   BB 0002F330 CredpConvertCredential
       1190   BC 0002F350 CredpConvertOneCredentialSize
       1191   BD 0002F370 CredpConvertTargetInfo
       1192   BE 0002F390 CredpDecodeCredential
       1193   BF 0002F3B0 CredpEncodeCredential
       1194   C0 0002F3D0 CredpEncodeSecret
       1195   C1 00017160 CryptAcquireContextA
       1196   C2 000172A0 CryptAcquireContextW
       1197   C3 0002F3F0 CryptContextAddRef
       1198   C4 00016B10 CryptCreateHash
       1199   C5 0002F410 CryptDecrypt
       1200   C6 0002F430 CryptDeriveKey
       1201   C7 00016DD0 CryptDestroyHash
       1202   C8 00017010 CryptDestroyKey
       1203   C9 0002F450 CryptDuplicateHash
       1204   CA 0002F470 CryptDuplicateKey
       1205   CB 0002F490 CryptEncrypt
       1206   CC 0002F4B0 CryptEnumProviderTypesA
       1207   CD 0002F4D0 CryptEnumProviderTypesW
       1208   CE 0002F4F0 CryptEnumProvidersA
       1209   CF 0002F510 CryptEnumProvidersW
       1210   D0 00016A60 CryptExportKey
       1211   D1 0002F530 CryptGenKey
       1212   D2 00017A50 CryptGenRandom
       1213   D3 0002F550 CryptGetDefaultProviderA
       1214   D4 00017670 CryptGetDefaultProviderW
       1215   D5 00016540 CryptGetHashParam
       1216   D6 0002F570 CryptGetKeyParam
       1217   D7 0002F590 CryptGetProvParam
       1218   D8 0002F5B0 CryptGetUserKey
       1219   D9 00016DF0 CryptHashData
       1220   DA 0002F5D0 CryptHashSessionKey
       1221   DB 00016A40 CryptImportKey
       1222   DC 00017690 CryptReleaseContext
       1223   DD 00017C80 CryptSetHashParam
       1224   DE 0002F5F0 CryptSetKeyParam
       1225   DF 0002F610 CryptSetProvParam
       1226   E0 0002F630 CryptSetProviderA
       1227   E1 0002F650 CryptSetProviderExA
       1228   E2 0002F670 CryptSetProviderExW
       1229   E3 0002F690 CryptSetProviderW
       1230   E4 0002F6B0 CryptSignHashA
       1231   E5 0002F6D0 CryptSignHashW
       1232   E6 0002F6F0 CryptVerifySignatureA
       1233   E7 00017A30 CryptVerifySignatureW
       1234   E8          CveEventWrite (forwarded to KERNELBASE.CveEventWrite)
       1235   E9 0002D7D0 DecryptFileA
       1236   EA 0002D8A0 DecryptFileW
       1237   EB 000176D0 DeleteAce
       1238   EC 0002F710 DeleteService
       1239   ED 00018910 DeregisterEventSource
       1240   EE 0002F730 DestroyPrivateObjectSecurity
       1241   EF 0002D930 DuplicateEncryptionInfoFile
       1242   F0 000171D0 DuplicateToken
       1243   F1 00017980 DuplicateTokenEx
       1244   F2 00051B40 ElfBackupEventLogFileA
       1245   F3 00051C40 ElfBackupEventLogFileW
       1246   F4 00051D40 ElfChangeNotify
       1247   F5 00051E50 ElfClearEventLogFileA
       1248   F6 00051F40 ElfClearEventLogFileW
       1249   F7 0001C5A0 ElfCloseEventLog
       1250   F8 00018940 ElfDeregisterEventSource
       1251   F9 00052020 ElfFlushEventLog
       1252   FA 00052030 ElfNumberOfRecords
       1253   FB 00052120 ElfOldestRecord
       1254   FC 00052210 ElfOpenBackupEventLogA
       1255   FD 00052380 ElfOpenBackupEventLogW
       1256   FE 000524F0 ElfOpenEventLogA
       1257   FF 0001C670 ElfOpenEventLogW
       1258  100 00052740 ElfReadEventLogA
       1259  101 000528B0 ElfReadEventLogW
       1260  102 00052C70 ElfRegisterEventSourceA
       1261  103 00017F60 ElfRegisterEventSourceW
       1262  104 00052E10 ElfReportEventA
       1263  105 00053270 ElfReportEventAndSourceW
       1264  106 000184E0 ElfReportEventW
       1265  107 0001D0C0 EnableTrace
       1266  108 0001D110 EnableTraceEx
       1267  109 00004190 EnableTraceEx2
       1268  10A 0002D9D0 EncryptFileA
       1269  10B 0002DA90 EncryptFileW
       1270  10C 0002DB10 EncryptedFileKeyInfo
       1271  10D 0002DB90 EncryptionDisable
       1272  10E 00045E50 EnumDependentServicesA
       1273  10F 0002F750 EnumDependentServicesW
       1274  110 0002F770 EnumDynamicTimeZoneInformation
       1275  111 00046000 EnumServiceGroupW
       1276  112 000462D0 EnumServicesStatusA
       1277  113 00018B00 EnumServicesStatusExA
       1278  114 000038E0 EnumServicesStatusExW
       1279  115 00046520 EnumServicesStatusW
       1280  116 00019590 EnumerateTraceGuids
       1281  117 00017D60 EnumerateTraceGuidsEx
       1282  118 0002F790 EqualDomainSid
       1283  119 0002F7B0 EqualPrefixSid
       1284  11A 00017E00 EqualSid
       1285  11B 0002F7D0 EventAccessControl
       1286  11C 0002F7F0 EventAccessQuery
       1287  11D 0002F810 EventAccessRemove
       1288  11E          EventActivityIdControl (forwarded to ntdll.EtwEventActivityIdControl)
       1289  11F          EventEnabled (forwarded to ntdll.EtwEventEnabled)
       1290  120          EventProviderEnabled (forwarded to ntdll.EtwEventProviderEnabled)
       1291  121          EventRegister (forwarded to ntdll.EtwEventRegister)
       1292  122          EventSetInformation (forwarded to ntdll.EtwEventSetInformation)
       1293  123          EventUnregister (forwarded to ntdll.EtwEventUnregister)
       1294  124          EventWrite (forwarded to ntdll.EtwEventWrite)
       1295  125          EventWriteEndScenario (forwarded to ntdll.EtwEventWriteEndScenario)
       1296  126          EventWriteEx (forwarded to ntdll.EtwEventWriteEx)
       1297  127          EventWriteStartScenario (forwarded to ntdll.EtwEventWriteStartScenario)
       1298  128          EventWriteString (forwarded to ntdll.EtwEventWriteString)
       1299  129          EventWriteTransfer (forwarded to ntdll.EtwEventWriteTransfer)
       1300  12A 0002DBE0 FileEncryptionStatusA
       1301  12B 0002DCB0 FileEncryptionStatusW
       1302  12C 0002F830 FindFirstFreeAce
       1303  12D 0002DD10 FlushEfsCache
       1304  12E 00042F20 FlushTraceA
       1305  12F 00042F40 FlushTraceW
       1306  130 0002DDE0 FreeEncryptedFileKeyInfo
       1307  131 00019580 FreeEncryptedFileMetadata
       1308  132 0002DE10 FreeEncryptionCertificateHashList
       1309  133 0003DF80 FreeInheritedFromArray
       1310  134 00017210 FreeSid
       1311  135 0003F730 GetAccessPermissionsForObjectA
       1312  136 0003FA90 GetAccessPermissionsForObjectW
       1313  137 0001AFE0 GetAce
       1314  138 0001B370 GetAclInformation
       1315  139 0003DFD0 GetAuditedPermissionsFromAclA
       1316  13A 0003E050 GetAuditedPermissionsFromAclW
       1317  13B 0002D400 GetCurrentHwProfileA
       1318  13C 000172D0 GetCurrentHwProfileW
       1319  13D 0002F850 GetDynamicTimeZoneInformationEffectiveYears
       1320  13E 0003E0F0 GetEffectiveRightsFromAclA
       1321  13F 0003E170 GetEffectiveRightsFromAclW
       1322  140 0002DE40 GetEncryptedFileMetadata
       1323  141 0001C460 GetEventLogInformation
       1324  142 0002F870 GetExplicitEntriesFromAclA
       1325  143 0002F870 GetExplicitEntriesFromAclW
       1326  144 000472D0 GetFileSecurityA
       1327  145 000043C0 GetFileSecurityW
       1328  146 000379D0 GetInformationCodeAuthzLevelW
       1329  147 00005A10 GetInformationCodeAuthzPolicyW
       1330  148 0003E210 GetInheritanceSourceA
       1331  149 0003E220 GetInheritanceSourceW
       1332  14A 0001B3B0 GetKernelObjectSecurity
       1333  14B 00016A80 GetLengthSid
       1334  14C 00035720 GetLocalManagedApplicationData
       1335  14D 00035990 GetLocalManagedApplications
       1336  14E 00035CC0 GetManagedApplicationCategories
       1337  14F 00035D30 GetManagedApplications
       1338  150 0003EDA0 GetMultipleTrusteeA
       1339  151 0003EDC0 GetMultipleTrusteeOperationA
       1340  152 0003EDC0 GetMultipleTrusteeOperationW
       1341  153 0003EDA0 GetMultipleTrusteeW
       1342  154 0003E2E0 GetNamedSecurityInfoA
       1343  155 0003FBD0 GetNamedSecurityInfoExA
       1344  156 0003FE80 GetNamedSecurityInfoExW
       1345  157 0002F890 GetNamedSecurityInfoW
       1346  158 00051260 GetNumberOfEventLogRecords
       1347  159 000512B0 GetOldestEventLogRecord
       1348  15A 000401B0 GetOverlappedAccessResults
       1349  15B 0002F8E0 GetPrivateObjectSecurity
       1350  15C 0001BD50 GetSecurityDescriptorControl
       1351  15D 00017900 GetSecurityDescriptorDacl
       1352  15E 0001BE70 GetSecurityDescriptorGroup
       1353  15F 0001BDA0 GetSecurityDescriptorLength
       1354  160 0001D360 GetSecurityDescriptorOwner
       1355  161 0002F900 GetSecurityDescriptorRMControl
       1356  162 0001BE50 GetSecurityDescriptorSacl
       1357  163 00017230 GetSecurityInfo
       1358  164 000402E0 GetSecurityInfoExA
       1359  165 00040550 GetSecurityInfoExW
       1360  166 00046570 GetServiceDisplayNameA
       1361  167 0002F920 GetServiceDisplayNameW
       1362  168 00046620 GetServiceKeyNameA
       1363  169 0002F940 GetServiceKeyNameW
       1364  16A 0001BB50 GetSidIdentifierAuthority
       1365  16B 0001B000 GetSidLengthRequired
       1366  16C 000170A0 GetSidSubAuthority
       1367  16D 00017030 GetSidSubAuthorityCount
       1368  16E 00049C50 GetStringConditionFromBinary
       1369  16F 000622A0 GetThreadWaitChain
       1370  170 00016060 GetTokenInformation
       1371  171          GetTraceEnableFlags (forwarded to ntdll.EtwGetTraceEnableFlags)
       1372  172          GetTraceEnableLevel (forwarded to ntdll.EtwGetTraceEnableLevel)
       1373  173          GetTraceLoggerHandle (forwarded to ntdll.EtwGetTraceLoggerHandle)
       1374  174 0003EDE0 GetTrusteeFormA
       1375  175 0003EDE0 GetTrusteeFormW
       1376  176 0003EE00 GetTrusteeNameA
       1377  177 0003EE00 GetTrusteeNameW
       1378  178 0003EE10 GetTrusteeTypeA
       1379  179 0003EE10 GetTrusteeTypeW
       1380  17A 00049080 GetUserNameA
       1381  17B 00016850 GetUserNameW
       1382  17C 0002F960 GetWindowsAccountDomainSid
       1383  17D          I_QueryTagInformation (forwarded to api-ms-win-service-private-l1-1-0.I_QueryTagInformation)
       1001  17E 0002DE40 I_ScGetCurrentGroupStateW
       1384  17F          I_ScIsSecurityProcess (forwarded to api-ms-win-service-private-l1-1-0.I_ScIsSecurityProcess)
       1385  180          I_ScPnPGetServiceName (forwarded to api-ms-win-service-private-l1-1-0.I_ScPnPGetServiceName)
       1386  181          I_ScQueryServiceConfig (forwarded to api-ms-win-service-private-l1-1-0.I_ScQueryServiceConfig)
       1387  182          I_ScRegisterPreshutdownRestart (forwarded to api-ms-win-service-private-l1-1-1.I_ScRegisterPreshutdownRestart)
       1388  183 0001DFB0 I_ScReparseServiceDatabase
       1389  184          I_ScSendPnPMessage (forwarded to api-ms-win-service-private-l1-1-0.I_ScSendPnPMessage)
       1390  185          I_ScSendTSMessage (forwarded to api-ms-win-service-private-l1-1-0.I_ScSendTSMessage)
       1391  186 0002F980 I_ScSetServiceBitsA
       1392  187 0002F9A0 I_ScSetServiceBitsW
       1393  188          I_ScValidatePnPService (forwarded to api-ms-win-service-private-l1-1-0.I_ScValidatePnPService)
       1394  189 0000B790 IdentifyCodeAuthzLevelW
       1395  18A 0002F9C0 ImpersonateAnonymousToken
       1396  18B 00017B30 ImpersonateLoggedOnUser
       1397  18C 0002F9E0 ImpersonateNamedPipeClient
       1398  18D 00017E80 ImpersonateSelf
       1399  18E 00017280 InitializeAcl
       1400  18F 00017650 InitializeSecurityDescriptor
       1401  190 0001B020 InitializeSid
       1402  191 000432F0 InitiateShutdownA
       1403  192 00019800 InitiateShutdownW
       1404  193 00043430 InitiateSystemShutdownA
       1405  194 00043580 InitiateSystemShutdownExA
       1406  195 000459D0 InitiateSystemShutdownExW
       1407  196 000436D0 InitiateSystemShutdownW
       1408  197 00035D40 InstallApplication
       1409  198 000163F0 IsTextUnicode
       1410  199 0002FA00 IsTokenRestricted
       1411  19A 000376F0 IsTokenUntrusted
       1412  19B 0002FA20 IsValidAcl
       1413  19C          IsValidRelativeSecurityDescriptor (forwarded to KERNELBASE.IsValidRelativeSecurityDescriptor)
       1414  19D 0002FA40 IsValidSecurityDescriptor
       1415  19E 00016E10 IsValidSid
       1416  19F 0001BFE0 IsWellKnownSid
       1417  1A0 000466D0 LockServiceDatabase
       1418  1A1 00049560 LogonUserA
       1419  1A2 00049750 LogonUserExA
       1420  1A3 0002FA60 LogonUserExExW
       1421  1A4 000497B0 LogonUserExW
       1422  1A5 0001B920 LogonUserW
       1423  1A6 000473B0 LookupAccountNameA
       1424  1A7 00016880 LookupAccountNameW
       1425  1A8 00047900 LookupAccountSidA
       1426  1A9 00016900 LookupAccountSidW
       1427  1AA 00048000 LookupPrivilegeDisplayNameA
       1428  1AB 00048210 LookupPrivilegeDisplayNameW
       1429  1AC 000483B0 LookupPrivilegeNameA
       1430  1AD 00048560 LookupPrivilegeNameW
       1431  1AE 000129F0 LookupPrivilegeValueA
       1432  1AF 0000F9A0 LookupPrivilegeValueW
       1433  1B0 0003E390 LookupSecurityDescriptorPartsA
       1434  1B1 0003E660 LookupSecurityDescriptorPartsW
       1435  1B2 0002FAE0 LsaAddAccountRights
       1436  1B3 00031AA0 LsaAddPrivilegesToAccount
       1437  1B4 00031B30 LsaClearAuditLog
       1438  1B5 0001BD70 LsaClose
       1439  1B6 00031BC0 LsaCreateAccount
       1440  1B7 0002FAF0 LsaCreateSecret
       1441  1B8 00031CD0 LsaCreateTrustedDomain
       1442  1B9 00033A90 LsaCreateTrustedDomainEx
       1443  1BA 0002FB00 LsaDelete
       1444  1BB 00033C70 LsaDeleteTrustedDomain
       1445  1BC 0002FB10 LsaEnumerateAccountRights
       1446  1BD 00031DE0 LsaEnumerateAccounts
       1447  1BE 0002FB20 LsaEnumerateAccountsWithUserRight
       1448  1BF 00031EC0 LsaEnumeratePrivileges
       1449  1C0 00031FA0 LsaEnumeratePrivilegesOfAccount
       1450  1C1 00032030 LsaEnumerateTrustedDomains
       1451  1C2 00033D00 LsaEnumerateTrustedDomainsEx
       1452  1C3 0001BBA0 LsaFreeMemory
       1453  1C4 00032120 LsaGetAppliedCAPIDs
       1454  1C5 000322A0 LsaGetQuotasForAccount
       1455  1C6 00032330 LsaGetRemoteUserName
       1456  1C7 00032530 LsaGetSystemAccessAccount
       1457  1C8 00011C60 LsaGetUserName
       1458  1C9 0002FB30 LsaICLookupNames
       1459  1CA 0002FB90 LsaICLookupNamesWithCreds
       1460  1CB 0002FC10 LsaICLookupSids
       1461  1CC 0002FC20 LsaICLookupSidsWithCreds
       1462  1CD 0001EA40 LsaInvokeTrustScanner
       1463  1CE 000325C0 LsaLookupNames
       1464  1CF 0002FCA0 LsaLookupNames2
       1465  1D0 00032750 LsaLookupPrivilegeDisplayName
       1466  1D1 00032A60 LsaLookupPrivilegeName
       1467  1D2 0000FAB0 LsaLookupPrivilegeValue
       1468  1D3 0001BB70 LsaLookupSids
       1469  1D4 0002FCB0 LsaLookupSids2
       1470  1D5 00033DF0 LsaManageSidNameMapping
       1471  1D6 00016080 LsaNtStatusToWinError
       1472  1D7 00032B20 LsaOpenAccount
       1473  1D8 0001BD80 LsaOpenPolicy
       1474  1D9 00032C30 LsaOpenPolicySce
       1475  1DA 0002FCC0 LsaOpenSecret
       1476  1DB 00032D40 LsaOpenTrustedDomain
       1477  1DC 00033F50 LsaOpenTrustedDomainByName
       1478  1DD 00032E50 LsaQueryCAPs
       1479  1DE 00034060 LsaQueryDomainInformationPolicy
       1480  1DF 00034110 LsaQueryForestTrustInformation
       1481  1E0 0001EAD0 LsaQueryForestTrustInformation2
       1482  1E1 00032FD0 LsaQueryInfoTrustedDomain
       1483  1E2 0001BD90 LsaQueryInformationPolicy
       1484  1E3 0002FCD0 LsaQuerySecret
       1485  1E4 000330B0 LsaQuerySecurityObject
       1486  1E5 000341C0 LsaQueryTrustedDomainInfo
       1487  1E6 000342C0 LsaQueryTrustedDomainInfoByName
       1488  1E7 0002FCE0 LsaRemoveAccountRights
       1489  1E8 00033180 LsaRemovePrivilegesFromAccount
       1490  1E9 0002FCF0 LsaRetrievePrivateData
       1491  1EA 00033220 LsaSetCAPs
       1492  1EB 00034370 LsaSetDomainInformationPolicy
       1493  1EC 00034410 LsaSetForestTrustInformation
       1494  1ED 0001EB90 LsaSetForestTrustInformation2
       1495  1EE 0002FD00 LsaSetInformationPolicy
       1496  1EF 00033370 LsaSetInformationTrustedDomain
       1497  1F0 00033740 LsaSetQuotasForAccount
       1498  1F1 0002FD10 LsaSetSecret
       1499  1F2 000337D0 LsaSetSecurityObject
       1500  1F3 00033930 LsaSetSystemAccessAccount
       1501  1F4 000344D0 LsaSetTrustedDomainInfoByName
       1502  1F5 000348C0 LsaSetTrustedDomainInformation
       1503  1F6 0002FD80 LsaStorePrivateData
       1504  1F7          MD4Final (forwarded to NTDLL.MD4Final)
       1505  1F8          MD4Init (forwarded to NTDLL.MD4Init)
       1506  1F9          MD4Update (forwarded to NTDLL.MD4Update)
       1507  1FA          MD5Final (forwarded to NTDLL.MD5Final)
       1508  1FB          MD5Init (forwarded to NTDLL.MD5Init)
       1509  1FC          MD5Update (forwarded to NTDLL.MD5Update)
       1510  1FD 00016FD0 MIDL_user_free_Ext
       1511  1FE 000304E0 MSChapSrvChangePassword
       1512  1FF 000307A0 MSChapSrvChangePassword2
       1513  200 0001D1E0 MakeAbsoluteSD
       1514  201 0002FD90 MakeAbsoluteSD2
       1515  202 0002FDB0 MakeSelfRelativeSD
       1516  203 0002FDD0 MapGenericMask
       1517  204 0001C990 NotifyBootConfigStatus
       1518  205 00051300 NotifyChangeEventLog
       1519  206 0001DF90 NotifyServiceStatusChange
       1520  207 0002FDF0 NotifyServiceStatusChangeA
       1521  208 0001D4D0 NotifyServiceStatusChangeW
       1522  209 00049810 NpGetUserName
       1523  20A 000486E0 ObjectCloseAuditAlarmA
       1524  20B 0002FE10 ObjectCloseAuditAlarmW
       1525  20C 00048790 ObjectDeleteAuditAlarmA
       1526  20D 0002FE30 ObjectDeleteAuditAlarmW
       1527  20E 00048840 ObjectOpenAuditAlarmA
       1528  20F 0002FE50 ObjectOpenAuditAlarmW
